,header,sub_header,text_content,author
20,Oanständigt att utvisa 6-årige Denis,,"
Den 10:e mars hittar Södertäljepolisen en död kvinna i en lägenhet i Hovsjö. En man grips skäligen misstänkt för mord, men släpps senare. Enligt kammaråklagaren misstänker man inte längre att ett brott har begåtts.
Sådana här berättelser, kort hållna tragedier, läser man om ibland i tidningarna.  Det flesta av oss kan sedan vidare med våra liv.
Kvinnan i Södertälje efterlämnade ett barn.
Han heter Denis och är 6 år gammal. I dag bor han hos sina morföräldrar i Uppsala eftersom hans far inte vill ta hand om honom. Men nu har Migrationsverket bestämt att Denis måste ryckas ifrån sin mormor och morfar och lämna landet. Pojken är nämligen, precis som sin mamma, ukrainsk medborgare.
– Han har ingen där. Och att han skulle sättas på ett barnhem i Ukraina vill jag inte ens tänka på.
Så säger Denis mormor Marianna Ilkuv till Aftonbladet.
Den 15 augusti ansökte pojkens gode man  om ett så kallat verkställighetshinder för att försöka stoppa utvisningen. 
Men Migrationsverket bryr sig inte om att morföräldrarna vill adoptera Denis. De bryr sig inte om att hans pappa sagt upp vårdnaden via en tingsrätt i Ukraina. Och de bryr sig inte om att ingen kommer att ta emot honom i Ukraina. Denis har inte ""gjort sannolikt att han inte kommer att tas hand på ett lämpligt sätt vid ett återvändande till Ukraina”, står det i myndighetens nya beslut.
Och enligt gode mannen är polisen redan informerade om att 6-årige Denis ska ut ur landet.
Varför blir det så här? Därför att ingen behöver eller vill ta ansvar. Man kan alltid peka på någon annan.
De som fattar besluten behöver aldrig verkställa dem, och de som verkställer besluten har inte fattat dem.
Migrationsminister Morgan Johansson (S) får inte styra rättstillämpningen. Migrationsverkets rättschef Fredrik Beijer ska följa lagen. Polisen som kör pojken till flygplatsen gör sin plikt. Piloten som ska flyga planet till Ukraina gör bara sitt jobb.
Kvar står vi, medborgare som tycker att våra myndigheter borde kunna ta mänskliga hänsyn, och en liten moderslös pojke.
Efter flyktingkrisen 2015 var nästan alla landets politiker överens om att vi inte kan ha en migrationspolitik som i grunden skiljer sig från vår omvärlds. Men vi kan inte heller ha en utlänningslag och rättstillämpning som omöjliggör medmänsklighet.
I somras röstade en majoritet av riksdagen för att FN:s barnkonvention ska bli lag i Sverige. Konventionen slår fast att barnets bästa alltid ska komma i första rummet, och den principen ska vara vägledande i alla beslut, bedömningar och ärenden som berör barn.
Mot den bakgrunden är en slutsats enkel att dra: låt Denis stanna.
• Vill du ha våra ledare direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",DANIEL SWEDIN
21,Bostadsbrist skapar enfald och egoism,,"
Majorna-Linné i Göteborg, Innerstaden i Malmö och Södermalm i Stockholm. Det är de stadsdelar i våra tre största städer som har lägst mångfald.
På Söder är det en lika liten blandning av människor födda i olika länder som i Pajala eller Vaggeryd.
I storstädernas förorter och i kranskommuner råder det däremot stor mångfald. I Botkyrka och Upplands Väsby, i Skärholmen och Angered är blandningen av människor med olika bakgrunder stor. Detta enligt en definition som Hyresgästföreningen tagit fram.
Man ska förstås inte underskatta de sociala problem som råder i vissa delar av vårt land, men vad är det som gör att det råder mångfald i Angered och enfald i Linnéstaden?
Boendet. På platser där bostadsrätter och villor är dominerande bor människor som ser nästan likadana ut, tjänar nästan lika mycket, har ungefär lika hög utbildning och är ungefär lika gamla. På platser där det finns många hyresrätter är bilden mer splittrad.
Det där hänger förstås ihop. En segregerad stad är inget som bara sker i en förort, det berör alla som bor där.
I Stockholm ska den nya blågröna majoriteten – Miljöpartiet, Moderaterna, Kristdemokraterna, Centerpartiet och Kristdemokraterna – råda bot på det här genom att sälja kommunägda lägenheter till bostadsrättsföreningar. Greppet är inte nytt. På åtta år sålde fyra av de här partierna 26 000 allmännyttiga lägenheter till nybildade bostadsrättföreningar.
Man sålde till kraftiga underpriser, man reade i praktiken ut kommunala fastigheter. Och man gjorde det av politisk övertygelse. Effekten blev ökad segregation. Av dem som är med och ombildar en fastighet till bostadsrätt bor bara 30 procent kvar efter elva år. De som flyttar in i lägenheterna sedan har i genomsnitt mycket bättre ekonomi. Efter stora ombildningar i några av Stockholms södra förorter har befolkningsstrukturen ändrats. Inflyttningen av personer med utländsk bakgrund har mattats av där hyresrätter blivit bostadsrätter. I dag står allmännyttan bara för 20 procent av bostadsbeståndet i hela huvudstaden. Samtidigt är inflyttningen till Stockholm jättestor och över 596 000 står i den kommunala bostadskön.
Sedan millennieskiftet har 160 000 svenska hyresrätter ombildats till bostadsrätter. I många svenska kommuner - inte minst kring Stockholm - har allmännyttan utplånats i vissa stadsdelar och i stället ersatts av överbelånade bostadsrätter, otillgängliga för vanliga löntagare. LO skriver i en ny rapport om hur de skenande bostadspriserna stänger ute allt fler av medelinkomsttagarna. Inte ens med genomsnittliga inkomster kan en familj på två vuxna och två barn köpa en lägenhet i Storstockholm. Även om de sparat ihop till insatsen tillåts de inte låna till resten.
I dag bor 93 procent av landets invånare i kommuner med bostadsbrist. Inte så konstigt, mellan 1994 och 2017 färdigställdes i genomsnitt endast 24 000 bostäder per år. När konjunkturen nu vänder så är det många fastighetsägare som inte vill bygga längre, trots att behovet är större än någonsin.I våras visade en statlig utredning att mindre än var fjärde kommun har gett direktiv till sina bostadsbolag att se till att svaga grupper kan få bostad. I stället får socialtjänsten täcka upp.
– Bostadsbristen skapar deras sociala problem. Får de bara en lägenhet så ordnar sig resten.
Det säger Elenor Dahlström, bostadssamordnare i Östersund till tidningen Hem & Hyra. Här har kommunen köpt 60 bostadsrätter för att använda genomgångsbostäder för socialförvaltningens klienter. 
Det är inte bara i Jämtland det fungerar så. Svenska socialförvaltningar hyr i dag ut över 24 000 lägenheter i andra hand till personer som inte kan skaffa sig ett eget boende.
Och det handlar verkligen inte bara om människor som har sociala problem. Här hamnar mammor och barn när ett förhållande kraschar. 
Ofrivillig deltid, eviga vikariat, låga löner och urholkade bidrag gör att många aldrig tjänar tillräckligt bra för att komma i fråga för en bostad. Hårda uthyrningskrav från hyresvärdarna, skriande brist på bostäder och allt fler nyanlända som saknar kötid eller inkomster gör det svårare att komma in på den vanliga bostadsmarknaden. Det innebär mycket merarbete för landets socionomer och det kostar mycket pengar. Den sammanlagda kostnaden för dessa bostadssociala kontrakt kan vara så hög som 3 miljarder kronor. Det kan jämföras med de 11 miljarder kronor som regeringen betalat ut i investeringsstöd för att fler billiga hyresbostäder ska byggas.
I brist på en politik som skapar bostäder åt vanligt folk växer både bostadsbristen och segregationen. Vad händer när räntorna stiger? När bopriserna dyker ännu mer? Om ekonomin saktar ned?
Det kan vara något att begrunda i det spel om regeringsmakten som nu går in sin andra månad.
• Vill du ha våra texter direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",DANIEL SWEDIN
22, Högern i krig med verklighetens folk,,"
Det är ingen lätt sak att tala om vad ""vanligt folk"" tycker och tänker. Fråga bara kristdemokraternas förre partiledare Göran Hägglund. När han för tolv år sedan började tala om verklighetens folk och dess väsen blev han avhånad. Hägglund frammanade en klyfta mellan folk och etablissemang, där dom där uppe blivit en moraliserande överhet som bråkar om perifera symbolfrågor. Dom där nere är mer intresserade om skolan funkar, om pengarna räcker, hur man ska få ihop vardagen.
Det var förstås ett tidigt försök att exploatera populismens guldåder, men fan vet om han inte hade en poäng. För, om man skalar bort alla krystade slängar mot jämställdhet och tolerans så var det i grunden en ganska sympatisk stridsskrift för en politik som står på vanligt folks sida. Det är ett perspektiv som är som bortblåst i svensk politisk debatt.
Det syns alldeles särskilt nu, i dessa regeringsbildningstider.
Även om vi inte har någon regering på plats så bildas det ändå runt om i vårt land olika majoriteter och koalitioner som ska styra kommuner och regioner.Låt oss ta skånska Staffanstorp som ett exempel. Här har Moderaterna – trots att Ulf Kristersson förbjudit det – slagit sig samman med Sverigedemokraterna. Mellan partierna finns det ""en samsyn"" enligt Jonny Rolf som är SD:s ordförande i Staffanstorp. Och när moderater och sverigedemokrater i kommunen i förra veckan lanserade sitt handlingsprogram innehöll det saker som förbud mot könsuppdelade badtider och att judar och muslimer inte längre ska serveras kött som framställts genom religiös slakt. Kulturkrigare på högerns ytterkant applåderar förstås i extas. Men är detta stora problem i Staffanstorp? Blir folks liv enklare nu?
I Stockholm har det nyvalda kulturborgarrådet Jonas Naddebo (C) öppnat för att privatisera bibliotek och konkurrensutsätta den kommunala kulturskolan. Nyliberaler flämtar förstås av upphetsning, men är detta stora samhällsproblem som är viktiga att åtgärda? Nej, det är ideologiskt moraliserande från en tokhöger som gått vilse i perifera symbolfrågor.Sådant råder det ingen brist på i ett Sverige där marknadsfundamentalismen styrt i 30 år.
Vårdcentralerna, skogen, apoteken, tågen, gruvorna, posten, elnätet, telefonin, bussarna, förskolorna, äldreboendena, järnvägen, pensionerna. En gång var det vårt gemensamma. Nu har det privatiserats, bolagiserats, konkurrensutsatts. Har tågen blivit punktligare? Posten mer leveranssäker? Elen billigare? Pensionerna högre?
Svaret är uppenbart, men varken socialdemokratin eller borgerligheten har förmått hantera det. Konsekvenserna är katastrofala, både i folks liv och i politiken.
""Det börjar bli hög tid att återupprätta det sunda förnuftet i svensk politisk debatt. Och inte minst respektera vanligt folks rätt att vara precis som de är"", skrev Göran Hägglund för mer än ett decennium sedan.
Ja, just det.
• Vill du ha våra texter direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",DANIEL SWEDIN
23,Bekvämt med taxi när väljarna betalar,,"
Det tycks inte bli någon moderatregering men politikutvecklingen i landets ledande högerparti har inte avstannat för det. I veckan har det berättats att den moderate riksdagsledamoten Edward Riedl föreslagit att taxiresor ska omfattas av rut-avdraget.
– Som jag ser det så är taxi en del av kollektivtrafiken i Sverige och man behöver både satsa på taxi, flyg och den övriga kollektivtrafiken, säger Riedl i en intervju med ETC.
Tja, man kan ju för all del del se taxi som en del av kollektivtrafiken men rut-avdraget finansieras på ett helt annat sätt än kollektivtrafiken. Fakturamodellen för rut-avdraget innebär att Skatteverket står för en stor del av räkningen. Pengar som redan betalats in i skatt går sedan till folk som vill ha städat hemma eller ha sina fruktträd beskurna. 
Och för att över huvud taget få göra rut-avdrag måste man ha en viss inkomst, eftersom det är ett skatteavdrag. Folk med låga inkomster har ingen chans att få fullt avdrag. För att få det måste man tjäna ungefär 220 000 om året. Däremot får alla vara med och betala för avdragen, som enligt moderaten Riedl alltså ska omfatta folks taxikvitton.
En annan moderat som har varma känslor för taxiresor är Ulf Kristersson.
Strax innan han blev partiledare för Moderaterna i fjol avslöjade TV4 att Kristersson är en mycket flitig taxiresenär. Under två år hade han åkt för 113 000 kronor, vad det verkar ofta i strid mot riksdagens regler. Under de granskade åren hade Kristersson tagit taxi hela 668 gånger, trots att det i alla fall utom tre fanns möjlighet att åka kollektivt.
Resan riksdagsledamot Kristersson ofta gjorde var mellan övernattningslägenheten vid Rådhuset på Kungsholmen och riksdagshuset i Gamla stan. Det är en bussresa på elva minuter eller en tunnelbaneresa på tre minuter. Kristersson tog också gärna en droska från riksdagen till Stockholms centralstation. Det är en promenad på 10 minuter.
”Jag åker också kollektivt ganska mycket förstås. Och det ser inte ni på reseräkningarna”, sa Kristersson när han fick frågor om sitt resande.
”Jo, vi ser att du har ett SL-kort och att det inte är många resor på det”, svarade TV4:s journalist.
”Jaha de sträckorna går jag i så fall”, sa Kristersson utan att darra på manschetten.
Det är förstås bekvämt att åka taxi, särskilt om någon annan betalar. Det har både Ulf Kristersson och Edward Riedl förstått. Men om det blir billigare att åka taxi – vilket trots allt skulle bli effekten av Riedls förslag – så förstår man ju att Kristersson vill åka statsrådsbil. Status är trots allt något relativt.",DANIEL SWEDIN
24, Jan Emanuel blir vänsterns Trump,Kanske den vänsterpopulist vi förtjänat,"
Enligt den belgiska statsvetaren Chantal Mouffe lever vi en populistisk tid. Politiken har blivit konfrontativ, ilsken och oförutsägbar. De regler och överenskommelser som präglat politiken och maktutövningen i västvärldens liberala demokratier har upphävts. Gränsen mellan höger och vänster har upphört, delvis på grund av att liknande krafter har släppts lös på både höger- och vänsterflanken: ledarkult, misstro mot medier, gatuprotester, känslan av att ha behandlats oschyst.
Mouffe menar att Europas socialdemokrater straffats av väljarna för att de har omfamnat nedskärningspolitik och marknadsliberala reformer och valt samförstånd framför konflikt. Den populistiska vänstern har i stället gjort framsteg genom att dra en gräns mellan ""folket"" och ""oligarkerna"". I den överskådliga framtiden kommer konflikten stå mellan högerpopulism och vänsterpopulism. Politiken kommer att handla om ""vi"" mot ""dom"", frågan är bara vilka som ska ingå i de två grupperna.
För att vara relevant i en superpolariserad tid efter sviterna av finanskrasch och migrationskris måste vänstern helt enkelt börja bråka.
Jag kom att tänka på det där när jag i helgen såg SVT:s satirprogram ""Svenska nyheter"". I ett inslag talar socialdemokraten och riskkapitalisten Jan Emanuel Johansson på engelska direkt till världens miljardärer: Skit i Caymanöarna! Strunta i Schweiz! Kom till Sverige i stället. Här har vi inga förmögenhetsskatter, inga fastighetsskatter, inga gåvoskatter och inga arvsskatter. Dessutom avskaffar Socialdemokraterna nu värnskatten.
”Välkommen till Sverige, där arbetarklassen betalar skatt så att rika svin som jag slipper”, deklarerar Johansson med musklerna svällande under skjortan.Ja, det är givetvis humor i någon mening och skandalomsusade Johansson – som enligt egen uppgift lever i ”vulgär nyrikedom” – visar förstås imponerande självdistans.
Men tänk om han är allvarlig?
För några veckor sedan författade Jan Emanuel Johansson en debattartikel från samma position: politikerna borde göra något åt det privilegiesamhälle som gör att han och andra kapitalister kan ha fest varenda dag på vanliga människors bekostnad.
Om Socialdemokraterna nu ska driva högerpolitik, om Vänsterpartiet vill vara fotriktigt duktiga och Sverigedemokraterna blivit Ulf Kristerssons vasaller så kanske det finns en position för Jan Emanuel Johansson. En jättestark, jätterik man som bara vill göra rätt för sig men inte får eftersom det traditionella arbetarepartiet som han alltid sympatiserat med nu är så maktlystna att de säljer ut sig själva och sin väljarbas till värderingsmässigt progressiva attackliberaler. Det är nästan något centraleuropeiskt över det. Eller, för all del, nordamerikanskt.
Jan Emanuel Johansson kanske inte är den vänsterpopulist Sverige behöver men den vänsterpopulist vi förtjänat.
• Vill du ha våra texter direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",DANIEL SWEDIN
25,Banker älskar bostadsbristen,De svenska hushållens sammanlagda bolån är uppe i 4 000 miljarder kronor.,"
I januari steg de svenska bostadspriserna och i förra veckan meddelade Riksbanken att man inte avser att höja räntan. Landets bostadsmäklare och folk som planerar att sälja sin bostad kan andas ut. Trots dystra prognoser om en priskrasch så går det fortfarande att tjäna pengar på att sälja lägenheter och hus.
Allra gladast kanske våra banker är. Under 2018 gjorde de fyra största bankerna en vinst på 112 miljarder kronor och att folk tecknar sig för bolån är vad de tjänar pengar på i dag.
Enligt Finansinspektionen är bolånemarginalen – skillnaden mellan vad bankerna tar i ränta från bolånetagarna och vad de själva behöver betala för att finansiera sig – i dag 1,55 procent. Det är en mycket hög lönsamhet, och i dag kan bankerna räkna hem sex gånger så höga marginaler på bostadslånen som för tio år sedan. Handelsbanken och Swedbank har gemensamt halva den svenska bolånemarknaden och för bägge bankerna står bolånen för minst 60 procent av fjolårets resultat.
De pengar storbankerna gjorde i vinst i fjol skulle räcka till att bygga bort bostadsbristen flera gånger om, men i ett land utan brist på bostäder kommer inte banker eller byggherrar kunna göra rekordvinster. I ett land där bostadsmarknaden inte fungerar, där det råder skriande brist på bostäder och där byggbolagen inte vill bygga nytt längre kan bankerna däremot tjäna riktigt stora pengar.
När räntan varit historiskt låg har bostadspriserna drivits till rekordnivåer och samtidigt ökat svenskarnas skuldbörda enormt. De svenska hushållens sammanlagda bolån är uppe i nära 4 000 miljarder kronor. Många hushåll har dessutom indirekta skulder via sina bostadsrättsföreningars lån.
Hushållens skulder som andel av de disponibla inkomsterna ligger på rekordhöga nivåer och kommer dessutom med största sannolikhet att öka de kommande åren eftersom räntorna någon gång kommer att höjas. Enligt Riksbanken är det största hotet mot den svenska ekonomin våra stora skulder.
Både den nya regeringen och Finansinspektionen arbetar med att minska andelen hushåll som har höga skulder i förhållande till sin inkomst. Att man då, som i Stockholm, från politiskt håll satsar på att ombilda gemensamt ägda hyresrätter till bostadsrätter är helt vansinnigt. Det är en politik som blåser på skuldsättningen, försämrar den ekonomiska stabiliteten och gör att ännu fler människor är utsatta för riskerna med en bostadskrasch.
Men storbankerna lär förstås jubla.
• Vill du ha våra texter direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",DANIEL SWEDIN
26,Wetterstrand ger korruptionen ett ansikte,,"
En utredning som föreslår obligatoriskt biobränsle i svenska flygplans bränsletankar.
Det levererade regeringens utredare Maria Wetterstrand i förra veckan. Men det är inte det gamla språkrörets förslag vi talar om. Det är hennes cv.
Maria Wetterstrand är nämligen inte bara utredare. Hon är också styrelseordförande och aktieägare i företaget Cortus Energy.
Företaget utvecklar mer miljövänliga bränslen och har tagit emot nästan 400 000 kronor av Energimyndigheten för att utveckla biobränsle till flygplan.
Enligt ägardatatjänsten Holdings hade Wetterstrand sammanlagt 615 000 aktier i Cortus vid årsskiftet. Först i februari – en månad innan utredningen var färdig – berättade hon för regeringen om sitt aktieinnehav och om sitt styrelseuppdrag. 
Att en regeringsutredare har stora ekonomiska intressen i ett affärsområde som sammanfaller helt med den utredning hen leder tillhör inte vanligheterna, för att uttrycka sig försiktigt. 
Men det är inget att bråka om, tycker Maria Wetterstrand.
”Jag ångrar inte någonting. Jag har aviserat styrelseuppdraget öppet och tydligt, och jag har gjort utredningen som tagits emot bra och positivt”, sa hon i veckan i P1-morgon.
Antikorruptionsorganisationen Transparency international i Sverige, å sin sida, talar om glasklar intressekonflikt.
Det blir värre.
I dag berättar sajten Altinget att Wetterstrand sedan 2017 är verkställande direktör för den finska kommunikationsbyrån Miltton Puropse, en del i pr- och lobbykoncernen Miltton Group. I sitt stall av kunder har de flygbolaget Finnair, den finska flygplatsägaren Finavia och flygbränsleproducenten Neste. 
Neste vill bli världens största producent av förnybart flygbränsle. Från och med i år erbjuder Finnair sina kunder möjligheten att betala extra för ökad inblandning av biodrivmedel och det tilltaget marknadsförs med hjälp av Miltton i kampanjen ”Push for change”. 
Vi lever i ett land där vi fått lära oss att gränserna mellan offentligt och privat monterats ned. Folk som var politiker i går är lobbyister eller näringslivsföreträdare i dag. Försvars- och sjukvårdspolitiker går från regeringssammanträden till årsstämmor i försvars- och välfärdsindustrin. Och ju mer symbiotisk relationen har blivit, desto viktigare har det för näringslivet att få tillgång till känslig insiderkunskap och rätt kontaktnät.
Det är i ett sådant land affären med Maria Wetterstrands utredning avslöjats.
Det går förstås att ifrågasätta Wetterstrands omdöme, men det riktigt häpnadsväckande i den här affären är att regeringen lät en person från lobbybranschen någonsin bli statlig utredare. 
Det tidigare miljöpartistiska språkröret riskerar att ge korruptionen ett ansikte, men det är socialdemokrater och miljöpartister i regeringskansliet som tillåtit det. ",DANIEL SWEDIN
27,Moderaterna fortsätter samarbeta med Orbán,Kristersson och Busch Thor hycklar om Ungern,"
I onsdags fick Europas konservativa och kristdemokratiska partier nog. Ungerska Fidesz, det parti som i över 20 år letts av premiärministern Viktor Orbán, stängs av från den liberalkonservativa partigruppen EPP. Tills vidare kommer inte Fidesz att få delta på EPP:s möten, man har inte rösträtt inom organisationen och partimedlemmar får inte kandidera till poster inom EPP.
Från Sverige har Ebba Busch Thor och Ulf Kristersson drivit på för att helt utesluta Fidesz och det är lätt att förstå varför.
I söndags intervjuades Viktor Orbán i landets allmänradio. Han gjorde som han brukar göra: skröt över hur han och den regim han förestår lyckats nedkämpa alla de onda krafter som konspirerar mot Ungerns redbara medborgare.
Internationella valutafonden, Angela Merkel, Bryssel, civilrättsorganisationer – alla har skickats på porten när de kommer dragandes med synpunkter som inte är till gagn för Ungerns folk. Säger Orbán alltså.
Vad den hållningen har lett till i praktiken är lätt att se.I demokratiinstitutet Freedom Houses årliga rapport har EU:s medlemsstater alltid betraktas som helt fria. Men i årets rapport har EU för första gången fått ""ett delvis fritt land"". Det är Ungern. 
Attacker på mediernas frihet, begränsningar av oppositionens möjlighet att verka politiskt och underminerandet av domstolarnas oberoende har tvingat fram en omvärdering av landet.
– Jag har väldigt svårt att se hur det här steget som vi nu har tagit i förlängningen ska kunna leda till att Fidesz har någon framtid i EPP, sa Moderaternas Tomas Tobé i förra veckan.
Men Orbáns parti har en framtid ihop med Moderaterna.Det finns nämligen två EPP. EPP är dels en europeisk paraplyorganisation för konservativa och kristdemokratiska partier i Europa, men det är också en av de politiska grupperna i EU-parlamentet. Och det ungerska partiet blir kvar som aktiva medlemmar i EPP:s partigrupp i Europaparlamentet.
Trots de hårda orden och trots att Fidesz stängts av från arbetet i paraplyorganisationen så kommer de vara med och utforma EPP:s politik i Europaparlamentet. Vid Europaparlamentsvalet 26 maj i år kommer alltså Moderaterna, Kristdemokraterna och Fidesz att bedriva valrörelse tillsammans. Enligt moderaten Gunnar Hökmark är det problemfritt eftersom det enda bekymmersamma med Fidesz är vad de sysslar med i Ungern.
”Så länge moderater och kristdemokrater går till val i samma partigrupp som Fidesz bör mer liberala väljare rimligen rösta på andra partier i Europavalet"", skrev vi på ledarsidan i början av året.
Den uppmaningen gäller fortfarande.",DANIEL SWEDIN
28,Försäkringsbolagen festar – de sjukaste står för notan,Vårdens resurser styrs om till den som kan betala för sig ,"
650 000. Så många svenskar har en privat sjukvårdsförsäkring. Det kunde Svensk Försäkring berätta i går. Var tionde vuxen garanteras en påbörjad vårdbehandling inom tjugo dagar, inte sällan på en vårdinrättning där andra får vänta betydligt längre på samma vård.
För det mesta är det arbetsgivare som lägger ut pengarna genom avdrag på bruttolönen, men även fackföreningar erbjuder sina medlemmar att teckna en privat sjukvårdsförsäkring.
Utvecklingen – i fjol ökade antalet försäkringar med 2,3 procent – har skyndats på av gynnsamma skatteregler. Fram till första juli i fjol förmånsbeskattades inte försäkringarna och därmed fick andra skattebetalare vara med och sponsra upplägget samtidigt som staten förlorade pengar på det.
Är det här ett problem då? Inte om man frågar de privata vårdförsäkringarnas anhängare som flockas på marknadsliberala lobbyorganisationer. I deras värld avlastas den offentliga vården på det här sättet när privatförsäkrade får snabb hjälp att komma tillbaka till arbetet.
I ett Sverige där nästan all vårdpolitisk debatt handlar om den bristande tillgängligheten så låtsas vi plötsligt att utbudet av vårdcentraler, sjukhus, ­läkare och sjuksköterskor ändå är obegränsat. En läkare som behandlar en försäkringspatient som klivit före i kön kan inte samtidigt behandla en offentligt finansierad patient. Så styrs vårdens resurser om till den som kan betala för sig och hela idén om att vård ska fördelas utifrån behov undergrävs.
De privata sjukvårdsförsäkringarna har blivit fler samtidigt som den privata vården vuxit fram. Det har skapat ett groteskt symbiosförhållande, vilket ekonomhistorikern John Lapidus berättat om i sin debattbok ""Vårdstölden"".
Försäkringsbolagen är helt beroende av att det finns privata vårdbolag som kan ta emot deras kunder – landstingsdrivna vårdcentraler och sjukhus tar inte emot försäkringspatienter. Och vårdbolagen är helt beroende av de extrapengar som det innebär att vårda försäkringspatienter. Och alla kostnader – lokaler, personal, utrustning och vårdbolagens vinst – får landstingen betala.
Det offentliga bekostar dessutom nybakade läkares AT- och ST-tjänstgöring i privata vårdbolag. Det är i praktiken gratis arbetskraft, men vården som läkarna producerar får landstingen betala för.
De största förlorarna på det här är förstås människor som inte är tillräckligt friska för att få teckna privata sjukvårdsförsäkringar.
Men alla drabbas när samhällets grundvärderingar, som att den som behöver vården bäst ska få den först, slås sönder.",DANIEL SWEDIN
29,Dödandet i Gaza är ett cyniskt spel,Inför Eurovision-finalen försöker Hamas förhandla med våld ,"
I lördags kväll dödades en gravid kvinna och hennes fjorton månader gamla syskonbarn under israeliska flygattacker mot Gaza. En svart not från de gångna dagarnas våldsamheter. Under helgen regnade så Hamas raketer över södra Israel, och Israel svarade med bombräder mot Gaza. Över 20 palestinier och fyra israeler dödade. De skadade kan räknas i hundratal.
Fördömanden från omvärlden har pliktskyldigt inkommit och sedan i morse råder ett bräckligt vapenstillestånd, framförhandlat av Egypten.
På ytan är sig det mesta likt i den israelisk-palestinska konflikten.
Det pågår inga aktiva fredsförhandlingar, bosättningarna byggs ut och i den israeliska politiken är alternativen till den militanta ockupationspolitiken svagare än någonsin. Palestinierna är splittrade och marginaliserade på den diplomatiska scenen. Infrastrukturen har fallit i bitar, dricksvattnet är odrickbart, bränsle och el är en ständig bristvara, mediciner finns inte och sjukhusen är överfulla.
Ockupationen av Västbanken är inne på sitt femtioandra år, och blockaden av Gaza har pågått i elva år. För sju år sedan varnade FN för att Gaza skulle vara obeboeligt redan nästa år. Hamas vanstyre, järnringen kring området och en växande befolkning snabbar på den utvecklingen.
Men i april öppnade Israel plötsligt för att göra livet för Gazas två miljoner människor lite mer uthärdligt. Man sa att man var beredda att låta Qatar finansiera fattigdomsbekämpande program i Gaza, att utöka områdets fiskezon i Medelhavet och släppa in fler varor till folket. Israelerna oroade sig helt enkelt för att den humanitära krisen i Gaza skulle öka risken för ett regelrätt krig.
Den israeliska valrörelsen och regeringsbildningen har gjort att lite av det där blivit verklighet, och i Gaza har frustrationen växt. Efter helgens våldsamheter fruktar många att planerna helt gått om intet, men Hamas har gjort en annan kalkyl.
I dag började ramadan, i morgon är det Israels minnedag, Yom HaZikaron, och på onsdag firas landets nationaldag. Senare i månaden hålls Eurovision song contest i Tel Aviv. Hamas räknar med att en våldsupptrappning under sådana förutsättningar kommer göra Israel mer benäget att gå dem till mötes.
Så är fienderna Hamas och Israel omfamnade i en cynisk dödsdans som bara kommer pågå tills det finns en verklig lösning på konflikten. 
En sådan lösning måste resultera i ett slut på blockaden av Gaza, ett slut ockupationen av Västbanken, en avveckling av bosättarpolitiken och upprättandet av en självbestämmande palestinsk stat.",DANIEL SWEDIN
30,Politiska beslut bakom sjukförsäkringshaveriet,Tilltron skadas när Försäkringskassan nobbar sjuka,"
När Försäkringskassans chef Ann-Marie Begler i våras fick sparken hymlades det inte om orsakerna. Regeringen tyckte att myndigheten varit alltför nitisk i sin jakt på sjukskrivna.
Den nya generaldirektören Maria Hemström-Hemmingsson skulle sätta individen i fokus och förbättra samarbetet med framför allt Arbetsförmedlingen.
Inspektionen för socialförsäkringen har utvärderat Försäkringskassans handläggning av sjukförsäkringen. Rapporten är en förödande uppgörelse med hur ett av våra trygghetssystem fungerar.
Dagens försäkringskassa har i stort sett arbetar efter samma regler sedan starten år 2005. Det hindrar inte att det politiska uppdraget förändrats vid åtminstone två tillfällen, år 2012 och år 2016.
År 2012 ville den borgerliga regeringen öka förtroendet för Försäkringskassan, och det gjorde det faktiskt. Samtidigt steg sjuktalen, sannolikt eftersom handläggarna ibland hellre valde att fria än att fälla.
År 2016 krävde den rödgröna regeringen att rättssäkerheten skulle hamna i fokus. Men framför allt att kostnaderna skulle sänkas och sjuktal tvingas tillbaka. Sjuktalen sjönk, liksom kostnaderna. Men det gjorde förtroendet för myndigheten och välfärdssystemet också.
I rapporten från Inspektionen för socialförsäkringen talas det om äventyrad rättssäkerhet och en risk att tilltron för hela systemet skadas.
Politiskt finns det minst två slutsatser att dra.
För det första att det är svårt att behålla förtroendet om det stora målet är att spara pengar. En försäkring som nekar sjuka människor deras försörjning förtjänar inte respekt.
För det andra att politiker inte kan skylla ifrån sig ansvaret för de signaler de skickar ut. När svensk myndigheter får ett uppdrag kommer det att påverka hur de arbetar, och uppdraget att spara pengar i sjukförsäkringen kom från den rödgröna regeringen.
Det bidrog till att skapa missnöje, och till ett valresultat vi nu tvingas leva med i fyra år.
Följ Aftonbladet Ledare på Facebook för att diskutera vidare och hitta andra spännande ledartexter.",INGVAR PERSSON
